benchID,anoIdx,refIdx,MFP
100,3414,37774,4
100,3415,45515,4
100,3423,43919,1
100,3439,37555,3
100,3444,44668,4
100,3450,45134,4
100,3451,38830,2
100,3457,36284,1
100,3476,38745,1
100,3480,44306,2
100,3501,39895,2
100,3502,35702,3
100,3519,35787,1
100,3530,43989,2
100,3535,43866,4
100,3582,42373,4
100,3603,39518,5
100,3623,40758,3
100,3624,45720,4
100,3627,42096,3
100,3628,43417,3
100,3629,45468,4
100,3633,43222,3
100,3643,40980,4
100,3660,43425,3
100,3664,40266,3
100,3669,45000,5
100,3671,35900,4
100,3684,45347,4
100,3686,45883,4
100,3687,39584,3
100,3689,37709,2
100,3692,46040,3
100,3695,37328,4
100,3729,41479,2
100,3733,43521,5
100,3738,38040,3
100,3744,35961,6
100,3762,40170,1
100,3768,44609,2
100,3774,46149,2
100,3796,41446,4
100,3822,43809,4
100,3824,35513,2
100,3843,39866,4
100,3853,43700,2
100,3857,40535,3
100,3859,46308,5
100,3913,43544,1
100,3925,35227,2
100,3929,43895,2
100,3930,43339,4
100,3935,42090,2
100,3936,42245,4
100,3939,46180,2
100,3947,38211,4
100,3954,36676,2
100,3956,44575,4
100,3968,45354,4
100,3985,39575,4
100,4005,36185,2
100,4016,37890,5
100,4034,42067,2
100,4039,37643,1
100,4044,40296,3
100,4077,38157,3
100,4083,39517,1
100,4087,43103,3
100,4091,38480,5
100,4096,38337,3
100,4124,37568,2
100,4138,36499,4
100,4164,39103,1
100,4177,40324,3
100,4185,36606,3
100,4200,40071,5
100,4210,37763,4
100,4214,40048,1
100,4216,41951,1
100,4219,41992,3
100,4225,39626,5
100,4226,39175,3
100,4232,39257,4
100,4243,41685,2
100,4245,44791,5
100,4246,35384,4
100,4250,37655,1
100,4260,46065,3
100,4267,42872,4
100,4271,45049,3
100,4273,37468,3
100,4292,43195,4
100,4295,39178,3
100,4312,37605,4
100,4314,35484,3
100,4315,38733,2
100,4353,43821,1
100,4362,38883,5
100,4367,35401,4
100,4375,35610,5
100,4392,39237,1
100,4416,45412,4
100,4418,42949,3
100,4422,37667,1
100,4444,38057,3
100,4462,45560,3
100,4487,45070,3
100,4489,44546,1
100,4490,36611,3
100,4503,35388,1
100,4521,39501,3
100,4546,43010,4
100,4563,46032,2
100,4570,44457,4
100,4572,38758,4
100,4575,38885,3
100,4587,43075,3
100,4624,35665,2
100,4628,44442,3
100,4651,37718,5
100,4658,46344,4
100,4671,44761,3
100,4672,39041,3
100,4677,42981,1
100,4680,39069,4
100,4687,40264,4
100,4693,42771,4
100,4694,42206,3
100,4712,36980,1
100,4718,36616,1
100,4719,45311,3
100,4722,43187,4
100,4754,43234,3
100,4767,46055,5
100,4773,42766,2
100,4782,38259,2
100,4791,37391,3
100,4807,36945,4
100,4854,43508,2
100,4857,35720,2
100,4877,41025,3
100,4879,39281,3
100,4907,46400,3
100,4922,45308,4
100,4930,43960,4
100,4932,35526,2
100,4939,37436,1
100,4943,36523,3
100,4958,40783,2
100,4986,45712,3
100,4989,44015,4
100,5003,44934,2
100,5004,43892,1
100,5009,40152,4
100,5023,41513,1
100,5031,39856,2
100,5037,42927,3
100,5048,41225,3
100,5050,36148,4
100,5063,39312,3
100,5077,46277,4
100,5081,43648,3
100,5118,44787,4
100,5129,43182,4
100,5137,45608,3
100,5140,44430,4
100,5145,42430,4
100,5151,37518,2
100,5161,35216,3
100,5166,39218,3
100,5173,43958,1
100,5189,34951,4
100,5200,43512,3
100,5205,45301,4
100,5219,42767,3
100,5222,45660,1
100,5228,45519,1
100,5244,43252,1
100,5258,39819,5
100,5276,46162,4
100,5293,37269,4
100,5300,46019,4
100,5341,36412,1
100,5342,35129,1
100,5349,42936,3
100,5353,44362,1
100,5367,46297,4
100,5371,44709,2
100,5372,35394,3
100,5379,43049,2
100,5380,46104,2
100,5396,36399,2
100,5397,41778,2
